,latitude,longitude,depth,deptho,deptho_lev,mask
118,0.0,108.333336,0.494025,28.0,14.0,1
119,0.0,108.416664,0.494025,24.0,13.0,1
120,0.0,108.5,0.494025,24.0,13.0,1
121,0.0,108.583336,0.494025,24.0,13.0,1
122,0.0,108.666664,0.494025,28.0,14.0,1
123,0.0,108.75,0.494025,24.0,13.0,1
124,0.0,108.833336,0.494025,25.99954,13.0,1
125,0.0,108.916664,0.494025,22.0,13.0,1
126,0.0,109.0,0.494025,17.0,11.0,1
127,0.0,109.083336,0.494025,8.499222,7.0,1
128,0.0,109.166664,0.494025,7.0,6.0,1
129,0.0,109.25,0.494025,,,0
130,0.0,109.333336,0.494025,,,0
131,0.0,109.416664,0.494025,,,0
132,0.0,109.5,0.494025,,,0
133,0.0,109.583336,0.494025,,,0
134,0.0,109.666664,0.494025,,,0
135,0.0,109.75,0.494025,,,0
136,0.0,109.833336,0.494025,,,0
137,0.0,109.916664,0.494025,,,0
138,0.0,110.0,0.494025,,,0
139,0.0,110.083336,0.494025,,,0
140,0.0,110.166664,0.494025,,,0
141,0.0,110.25,0.494025,,,0
142,0.0,110.333336,0.494025,,,0
143,0.0,110.416664,0.494025,,,0
144,0.0,110.5,0.494025,,,0
145,0.0,110.583336,0.494025,,,0
146,0.0,110.666664,0.494025,,,0
147,0.0,110.75,0.494025,,,0
148,0.0,110.833336,0.494025,,,0
149,0.0,110.916664,0.494025,,,0
150,0.0,111.0,0.494025,,,0
151,0.0,111.083336,0.494025,,,0
152,0.0,111.166664,0.494025,,,0
153,0.0,111.25,0.494025,,,0
154,0.0,111.333336,0.494025,,,0
155,0.0,111.416664,0.494025,,,0
156,0.0,111.5,0.494025,,,0
157,0.0,111.583336,0.494025,,,0
158,0.0,111.666664,0.494025,,,0
159,0.0,111.75,0.494025,,,0
160,0.0,111.833336,0.494025,,,0
161,0.0,111.916664,0.494025,,,0
162,0.0,112.0,0.494025,,,0
163,0.0,112.083336,0.494025,,,0
164,0.0,112.166664,0.494025,,,0
165,0.0,112.25,0.494025,,,0
166,0.0,112.333336,0.494025,,,0
167,0.0,112.416664,0.494025,,,0
168,0.0,112.5,0.494025,,,0
169,0.0,112.583336,0.494025,,,0
170,0.0,112.666664,0.494025,,,0
171,0.0,112.75,0.494025,,,0
172,0.0,112.833336,0.494025,,,0
173,0.0,112.916664,0.494025,,,0
174,0.0,113.0,0.494025,,,0
175,0.0,113.083336,0.494025,,,0
176,0.0,113.166664,0.494025,,,0
177,0.0,113.25,0.494025,,,0
178,0.0,113.333336,0.494025,,,0
179,0.0,113.416664,0.494025,,,0
180,0.0,113.5,0.494025,,,0
181,0.0,113.583336,0.494025,,,0
182,0.0,113.666664,0.494025,,,0
183,0.0,113.75,0.494025,,,0
184,0.0,113.833336,0.494025,,,0
185,0.0,113.916664,0.494025,,,0
186,0.0,114.0,0.494025,,,0
187,0.0,114.083336,0.494025,,,0
188,0.0,114.166664,0.494025,,,0
189,0.0,114.25,0.494025,,,0
190,0.0,114.333336,0.494025,,,0
191,0.0,114.416664,0.494025,,,0
192,0.0,114.5,0.494025,,,0
193,0.0,114.583336,0.494025,,,0
194,0.0,114.666664,0.494025,,,0
195,0.0,114.75,0.494025,,,0
196,0.0,114.833336,0.494025,,,0
197,0.0,114.916664,0.494025,,,0
198,0.0,115.0,0.494025,,,0
199,0.0,115.083336,0.494025,,,0
200,0.0,115.166664,0.494025,,,0
201,0.0,115.25,0.494025,,,0
202,0.0,115.333336,0.494025,,,0
203,0.0,115.416664,0.494025,,,0
204,0.0,115.5,0.494025,,,0
205,0.0,115.583336,0.494025,,,0
206,0.0,115.666664,0.494025,,,0
207,0.0,115.75,0.494025,,,0
208,0.0,115.833336,0.494025,,,0
209,0.0,115.916664,0.494025,,,0
210,0.0,116.0,0.494025,,,0
211,0.0,116.083336,0.494025,,,0
212,0.0,116.166664,0.494025,,,0
213,0.0,116.25,0.494025,,,0
