,time,latitude,longitude,dos,dos_error,depth,sea_ice_fraction,sos,sos_error
6250,2018-02-01,4.0625,111.8125,1020.8388,0.8323658,0.0,0.0,32.768414,0.8636229
6251,2018-02-01,4.0625,111.9375,1020.827,0.84055376,0.0,0.0,32.775322,0.8703981
6252,2018-02-01,4.0625,112.0625,1020.8039,0.8563724,0.0,0.0,32.754234,0.88504595
6253,2018-02-01,4.0625,112.1875,1020.7908,0.87835264,0.0,0.0,32.733936,0.9060212
6254,2018-02-01,4.0625,112.3125,1020.7603,0.89174694,0.0,0.0,32.6995,0.9181839
6255,2018-02-01,4.0625,112.4375,1020.7389,0.9116939,0.0,0.0,32.680134,0.93704396
6256,2018-02-01,4.0625,112.5625,1020.70276,0.9270949,0.0,0.0,32.65586,0.9512649
6257,2018-02-01,4.0625,112.6875,1020.62726,0.9327286,0.0,0.0,32.607376,0.9555442
6258,2018-02-01,4.0625,112.8125,1020.58936,0.96807814,0.0,0.0,32.590412,0.99009514
6259,2018-02-01,4.0625,112.9375,1020.5909,0.97573644,0.0,0.0,32.607693,0.9964472
6260,2018-02-01,4.0625,113.0625,1020.6053,0.9803257,0.0,0.0,32.62605,0.9997131
6261,2018-02-01,4.0625,113.1875,1020.60144,0.99198925,0.0,0.0,32.62932,1.0101889
6262,2018-02-01,4.0625,113.3125,1020.6022,1.0031493,0.0,0.0,32.639,1.0202829
6263,2018-02-01,4.0625,113.4375,1020.61176,1.0175517,0.0,0.0,32.65144,1.0337808
6264,2018-02-01,4.0625,113.5625,1020.6321,1.041079,0.0,0.0,32.667755,1.0565106
6265,2018-02-01,4.0625,113.6875,1020.6332,1.0444485,0.0,0.0,32.69518,1.0778958
6266,2018-02-01,4.0625,113.8125,,,0.0,0.0,32.722027,1.1022718
6267,2018-02-01,4.0625,113.9375,,,0.0,,,
6268,2018-02-01,4.0625,114.0625,,,0.0,,,
6269,2018-02-01,4.0625,114.1875,,,0.0,,,
6270,2018-02-01,4.0625,114.3125,,,0.0,,,
6271,2018-02-01,4.0625,114.4375,,,0.0,,,
6272,2018-02-01,4.0625,114.5625,,,0.0,,,
6273,2018-02-01,4.0625,114.6875,,,0.0,,,
6274,2018-02-01,4.0625,114.8125,,,0.0,,,
6275,2018-02-01,4.0625,114.9375,,,0.0,,,
6276,2018-02-01,4.0625,115.0625,,,0.0,,,
6277,2018-02-01,4.0625,115.1875,,,0.0,,,
6278,2018-02-01,4.0625,115.3125,,,0.0,,,
6279,2018-02-01,4.0625,115.4375,,,0.0,,,
6280,2018-02-01,4.0625,115.5625,,,0.0,,,
6281,2018-02-01,4.0625,115.6875,,,0.0,,,
6282,2018-02-01,4.0625,115.8125,,,0.0,,,
6283,2018-02-01,4.0625,115.9375,,,0.0,,,
6284,2018-02-01,4.0625,116.0625,,,0.0,,,
6285,2018-02-01,4.0625,116.1875,,,0.0,,,
6286,2018-02-01,4.0625,116.3125,,,0.0,,,
6287,2018-02-01,4.0625,116.4375,,,0.0,,,
6288,2018-02-01,4.0625,116.5625,,,0.0,,,
6289,2018-02-01,4.0625,116.6875,,,0.0,,,
6290,2018-02-01,4.0625,116.8125,,,0.0,,,
6291,2018-02-01,4.0625,116.9375,,,0.0,,,
6292,2018-02-01,4.0625,117.0625,,,0.0,,,
6293,2018-02-01,4.0625,117.1875,,,0.0,,,
6294,2018-02-01,4.0625,117.3125,,,0.0,,,
6295,2018-02-01,4.0625,117.4375,,,0.0,,,
6296,2018-02-01,4.0625,117.5625,,,0.0,,,
6297,2018-02-01,4.0625,117.6875,1020.852,0.9901313,0.0,0.0,33.238636,0.9969331
6298,2018-02-01,4.0625,117.8125,1020.84985,0.97202355,0.0,0.0,33.235813,0.97931635
6299,2018-02-01,4.0625,117.9375,1020.84784,0.95142645,0.0,0.0,33.233147,0.9592824
6300,2018-02-01,4.0625,118.0625,1020.84546,0.9318538,0.0,0.0,33.23108,0.9402509
6301,2018-02-01,4.0625,118.1875,1020.8401,0.8894593,0.0,0.0,33.220222,0.89856505
6302,2018-02-01,4.0625,118.3125,1020.82794,0.8749861,0.0,0.0,33.20604,0.88507694
6303,2018-02-01,4.0625,118.4375,1020.83685,0.8530493,0.0,0.0,33.204327,0.86415297
6304,2018-02-01,4.0625,118.5625,1020.9069,0.8315729,0.0,0.0,33.259865,0.84368473
6305,2018-02-01,4.0625,118.6875,1020.99536,0.83463717,0.0,0.0,33.33057,0.8480357
6306,2018-02-01,4.0625,118.8125,1021.05286,0.8175899,0.0,0.0,33.38334,0.8321348
6307,2018-02-01,4.0625,118.9375,1021.01465,0.79070485,0.0,0.0,33.369053,0.8063303
6308,2018-02-01,4.0625,119.0625,1020.96704,0.7875847,0.0,0.0,33.329792,0.80464965
6309,2018-02-01,4.0625,119.1875,1020.93945,0.7808262,0.0,0.0,33.300953,0.7993201
6310,2018-02-01,4.0625,119.3125,1020.91626,0.7564222,0.0,0.0,33.28604,0.77606034
6311,2018-02-01,4.0625,119.4375,1020.9018,0.7279647,0.0,0.0,33.27433,0.7486583
6312,2018-02-01,4.0625,119.5625,1020.8624,0.7141168,0.0,0.0,33.24371,0.73617345
6313,2018-02-01,4.0625,119.6875,1020.81433,0.70311606,0.0,0.0,33.19873,0.7266352
6314,2018-02-01,4.0625,119.8125,1020.79065,0.69629556,0.0,0.0,33.170166,0.7213898
6315,2018-02-01,4.0625,119.9375,1020.7758,0.685817,0.0,0.0,33.140358,0.712394
6316,2018-02-01,4.0625,120.0625,1020.7617,0.6826916,0.0,0.0,33.116924,0.71103513
6317,2018-02-01,4.0625,120.1875,1020.6969,0.6823062,0.0,0.0,33.05273,0.7126025
6318,2018-02-01,4.0625,120.3125,1020.5976,0.6728561,0.0,0.0,32.95535,0.7047014
6319,2018-02-01,4.0625,120.4375,1020.5325,0.66544616,0.0,0.0,32.89724,0.6987911
6320,2018-02-01,4.0625,120.5625,1020.5043,0.6529243,0.0,0.0,32.870087,0.6876118
6321,2018-02-01,4.0625,120.6875,1020.48663,0.6280087,0.0,0.0,32.858196,0.66351753
6322,2018-02-01,4.0625,120.8125,1020.4466,0.6123051,0.0,0.0,32.82712,0.6487817
6323,2018-02-01,4.0625,120.9375,1020.4406,0.6001046,0.0,0.0,32.818817,0.6374615
6324,2018-02-01,4.0625,121.0625,1020.42737,0.5891716,0.0,0.0,32.794273,0.62748414
6325,2018-02-01,4.0625,121.1875,1020.41797,0.5860485,0.0,0.0,32.797348,0.6257619
6326,2018-02-01,4.0625,121.3125,1020.42706,0.5803141,0.0,0.0,32.819584,0.6211214
6327,2018-02-01,4.0625,121.4375,1020.4581,0.5775458,0.0,0.0,32.858013,0.6194343
6328,2018-02-01,4.0625,121.5625,1020.4647,0.57368284,0.0,0.0,32.874126,0.6166206
6329,2018-02-01,4.0625,121.6875,1020.4407,0.5662505,0.0,0.0,32.869827,0.6100425
6330,2018-02-01,4.0625,121.8125,1020.41156,0.56148297,0.0,0.0,32.842953,0.60607946
6331,2018-02-01,4.0625,121.9375,1020.4351,0.5567966,0.0,0.0,32.85978,0.6019729
6332,2018-02-01,4.0625,122.0625,1020.4448,0.5541369,0.0,0.0,32.867733,0.6000414
6333,2018-02-01,4.0625,122.1875,1020.42816,0.55221003,0.0,0.0,32.86831,0.5989107
6334,2018-02-01,4.0625,122.3125,1020.41315,0.5549222,0.0,0.0,32.864178,0.60256606
6335,2018-02-01,4.0625,122.4375,1020.454,0.55031794,0.0,0.0,32.910282,0.5981815
6336,2018-02-01,4.1875,98.5625,1019.7187,0.9295136,0.0,0.0,31.962257,0.9374288
6337,2018-02-01,4.1875,98.6875,1019.6943,0.93346703,0.0,0.0,31.926624,0.9410436
6338,2018-02-01,4.1875,98.8125,1019.6788,0.92567617,0.0,0.0,31.902462,0.93288726
6339,2018-02-01,4.1875,98.9375,1019.6608,0.9140474,0.0,0.0,31.87954,0.920916
6340,2018-02-01,4.1875,99.0625,1019.62695,0.90968907,0.0,0.0,31.837385,0.9162599
6341,2018-02-01,4.1875,99.1875,1019.5551,0.91847056,0.0,0.0,31.753727,0.9248123
6342,2018-02-01,4.1875,99.3125,1019.47473,0.9349957,0.0,0.0,31.668583,0.9411912
6343,2018-02-01,4.1875,99.4375,1019.3563,0.95446295,0.0,0.0,31.538084,0.96056956
6344,2018-02-01,4.1875,99.5625,1019.25385,0.9673121,0.0,0.0,31.421461,0.97329545
6345,2018-02-01,4.1875,99.6875,1019.1486,0.9870176,0.0,0.0,31.29873,0.9929046
6346,2018-02-01,4.1875,99.8125,1019.03784,1.0419667,0.0,0.0,31.184875,1.0478723
6347,2018-02-01,4.1875,99.9375,1018.9662,1.1009799,0.0,0.0,31.116283,1.1068747
6348,2018-02-01,4.1875,100.0625,1018.93896,1.095378,0.0,0.0,31.065123,1.1009957
6349,2018-02-01,4.1875,100.1875,1018.92596,1.0751219,0.0,0.0,31.020096,1.0804124
6350,2018-02-01,4.1875,100.3125,1018.9144,1.0727452,0.0,0.0,30.976439,1.0777609
6351,2018-02-01,4.1875,100.4375,1018.8762,1.0890429,0.0,0.0,30.91163,1.0938293
6352,2018-02-01,4.1875,100.5625,1018.85657,1.107382,0.0,0.0,30.867054,1.1119406
6353,2018-02-01,4.1875,100.6875,1018.8585,1.0990391,0.0,0.0,30.856514,1.1149498
6354,2018-02-01,4.1875,100.8125,,,0.0,,,
6355,2018-02-01,4.1875,100.9375,,,0.0,,,
6356,2018-02-01,4.1875,101.0625,,,0.0,,,
6357,2018-02-01,4.1875,101.1875,,,0.0,,,
6358,2018-02-01,4.1875,101.3125,,,0.0,,,
6359,2018-02-01,4.1875,101.4375,,,0.0,,,
6360,2018-02-01,4.1875,101.5625,,,0.0,,,
6361,2018-02-01,4.1875,101.6875,,,0.0,,,
6362,2018-02-01,4.1875,101.8125,,,0.0,,,
6363,2018-02-01,4.1875,101.9375,,,0.0,,,
6364,2018-02-01,4.1875,102.0625,,,0.0,,,
6365,2018-02-01,4.1875,102.1875,,,0.0,,,
6366,2018-02-01,4.1875,102.3125,,,0.0,,,
6367,2018-02-01,4.1875,102.4375,,,0.0,,,
6368,2018-02-01,4.1875,102.5625,,,0.0,,,
6369,2018-02-01,4.1875,102.6875,,,0.0,,,
6370,2018-02-01,4.1875,102.8125,,,0.0,,,
6371,2018-02-01,4.1875,102.9375,,,0.0,,,
6372,2018-02-01,4.1875,103.0625,,,0.0,,,
6373,2018-02-01,4.1875,103.1875,,,0.0,,,
6374,2018-02-01,4.1875,103.3125,,,0.0,,,
6375,2018-02-01,4.1875,103.4375,,,0.0,0.0,32.191223,1.0419146
6376,2018-02-01,4.1875,103.5625,1020.3906,1.0216401,0.0,0.0,32.1901,1.041253
6377,2018-02-01,4.1875,103.6875,1020.36945,1.0151496,0.0,0.0,32.167885,1.0281724
6378,2018-02-01,4.1875,103.8125,1020.4593,0.98229915,0.0,0.0,32.2361,0.99649966
6379,2018-02-01,4.1875,103.9375,1020.5409,0.96615547,0.0,0.0,32.307804,0.9818481
6380,2018-02-01,4.1875,104.0625,1020.5607,0.95272166,0.0,0.0,32.324387,0.969969
6381,2018-02-01,4.1875,104.1875,1020.5898,0.94329834,0.0,0.0,32.340866,0.96219796
6382,2018-02-01,4.1875,104.3125,1020.6465,0.94006693,0.0,0.0,32.363438,0.9608888
6383,2018-02-01,4.1875,104.4375,1020.7125,0.92428166,0.0,0.0,32.404472,0.94699275
6384,2018-02-01,4.1875,104.5625,1020.7521,0.90539324,0.0,0.0,32.428783,0.9299857
6385,2018-02-01,4.1875,104.6875,1020.8011,0.88438493,0.0,0.0,32.470325,0.91085917
6386,2018-02-01,4.1875,104.8125,1020.85974,0.86058277,0.0,0.0,32.52919,0.8889591
6387,2018-02-01,4.1875,104.9375,1020.91516,0.828738,0.0,0.0,32.59068,0.85887384
6388,2018-02-01,4.1875,105.0625,1020.94745,0.7888862,0.0,0.0,32.628895,0.8205276
6389,2018-02-01,4.1875,105.1875,1020.9507,0.7459808,0.0,0.0,32.63212,0.77896917
6390,2018-02-01,4.1875,105.3125,1020.9445,0.7159415,0.0,0.0,32.62272,0.7504145
6391,2018-02-01,4.1875,105.4375,1020.92474,0.6974266,0.0,0.0,32.589565,0.7335624
6392,2018-02-01,4.1875,105.5625,1020.9244,0.6681147,0.0,0.0,32.57906,0.70547247
6393,2018-02-01,4.1875,105.6875,1020.9034,0.63822716,0.0,0.0,32.55629,0.67675
6394,2018-02-01,4.1875,105.8125,1020.8949,0.6086286,0.0,0.0,32.555565,0.6480486
6395,2018-02-01,4.1875,105.9375,1020.8988,0.582873,0.0,0.0,32.559734,0.623101
6396,2018-02-01,4.1875,106.0625,1020.88776,0.56171715,0.0,0.0,32.54395,0.6029861
6397,2018-02-01,4.1875,106.1875,1020.88354,0.5360824,0.0,0.0,32.53978,0.5780955
6398,2018-02-01,4.1875,106.3125,1020.8886,0.5158722,0.0,0.0,32.547306,0.5586774
6399,2018-02-01,4.1875,106.4375,1020.8862,0.4964481,0.0,0.0,32.542393,0.5397999
6400,2018-02-01,4.1875,106.5625,1020.88983,0.47710583,0.0,0.0,32.546093,0.52097636
6401,2018-02-01,4.1875,106.6875,1020.90186,0.4598231,0.0,0.0,32.557674,0.50434065
6402,2018-02-01,4.1875,106.8125,1020.9194,0.44598716,0.0,0.0,32.576538,0.49106905
6403,2018-02-01,4.1875,106.9375,1020.9624,0.4335915,0.0,0.0,32.63038,0.47899273
6404,2018-02-01,4.1875,107.0625,1021.0243,0.4239219,0.0,0.0,32.706886,0.4698724
6405,2018-02-01,4.1875,107.1875,1021.07733,0.41246977,0.0,0.0,32.7648,0.458801
6406,2018-02-01,4.1875,107.3125,1021.1075,0.40540665,0.0,0.0,32.799473,0.45216098
6407,2018-02-01,4.1875,107.4375,1021.1329,0.39915946,0.0,0.0,32.828438,0.44604006
6408,2018-02-01,4.1875,107.5625,1021.15283,0.39614236,0.0,0.0,32.84182,0.44347125
6409,2018-02-01,4.1875,107.6875,1021.1507,0.3944738,0.0,0.0,32.82695,0.44239807
6410,2018-02-01,4.1875,107.8125,1021.13025,0.3912385,0.0,0.0,32.806637,0.43924585
6411,2018-02-01,4.1875,107.9375,1021.1637,0.39050972,0.0,0.0,32.83371,0.43850404
6412,2018-02-01,4.1875,108.0625,1021.1702,0.3900639,0.0,0.0,32.830612,0.43807486
6413,2018-02-01,4.1875,108.1875,1021.194,0.3961942,0.0,0.0,32.845745,0.44491425
6414,2018-02-01,4.1875,108.3125,1021.1883,0.3917713,0.0,0.0,32.848885,0.439761
6415,2018-02-01,4.1875,108.4375,1021.1821,0.3933321,0.0,0.0,32.854725,0.44089842
6416,2018-02-01,4.1875,108.5625,1021.16046,0.39792722,0.0,0.0,32.84291,0.44538438
6417,2018-02-01,4.1875,108.6875,1021.17334,0.4071898,0.0,0.0,32.851555,0.45500097
6418,2018-02-01,4.1875,108.8125,1021.1567,0.413031,0.0,0.0,32.8386,0.46057412
6419,2018-02-01,4.1875,108.9375,1021.14014,0.4201813,0.0,0.0,32.83438,0.46731603
6420,2018-02-01,4.1875,109.0625,1021.1167,0.43117046,0.0,0.0,32.823055,0.47825086
6421,2018-02-01,4.1875,109.1875,1021.09314,0.44338042,0.0,0.0,32.81152,0.49049625
6422,2018-02-01,4.1875,109.3125,1021.06305,0.45501864,0.0,0.0,32.796486,0.50190365
6423,2018-02-01,4.1875,109.4375,1021.0332,0.46724737,0.0,0.0,32.778885,0.51374614
6424,2018-02-01,4.1875,109.5625,1021.0289,0.48351,0.0,0.0,32.7799,0.5299339
6425,2018-02-01,4.1875,109.6875,1021.02795,0.5014502,0.0,0.0,32.78247,0.5478939
6426,2018-02-01,4.1875,109.8125,1021.0125,0.5205553,0.0,0.0,32.78055,0.5668282
6427,2018-02-01,4.1875,109.9375,1020.9981,0.5411481,0.0,0.0,32.78439,0.58708274
6428,2018-02-01,4.1875,110.0625,1020.97577,0.5611708,0.0,0.0,32.775085,0.60668755
6429,2018-02-01,4.1875,110.1875,1020.97064,0.5797284,0.0,0.0,32.794014,0.62469876
6430,2018-02-01,4.1875,110.3125,1020.9664,0.59585994,0.0,0.0,32.814556,0.6400415
6431,2018-02-01,4.1875,110.4375,1020.9745,0.61350375,0.0,0.0,32.844646,0.6569118
6432,2018-02-01,4.1875,110.5625,1020.9727,0.6331161,0.0,0.0,32.851597,0.6758509
6433,2018-02-01,4.1875,110.6875,1020.95154,0.6504891,0.0,0.0,32.84625,0.69241333
6434,2018-02-01,4.1875,110.8125,1020.91736,0.6675433,0.0,0.0,32.82199,0.7085829
6435,2018-02-01,4.1875,110.9375,1020.9066,0.6847507,0.0,0.0,32.82008,0.7248604
6436,2018-02-01,4.1875,111.0625,1020.9171,0.70351595,0.0,0.0,32.8381,0.7427668
6437,2018-02-01,4.1875,111.1875,1020.9246,0.7234236,0.0,0.0,32.853664,0.7618578
6438,2018-02-01,4.1875,111.3125,1020.91693,0.7452066,0.0,0.0,32.843952,0.7828035
6439,2018-02-01,4.1875,111.4375,1020.90826,0.76469254,0.0,0.0,32.826496,0.80126333
6440,2018-02-01,4.1875,111.5625,1020.9139,0.7810145,0.0,0.0,32.827568,0.81644225
6441,2018-02-01,4.1875,111.6875,1020.90936,0.80262095,0.0,0.0,32.821518,0.83710027
6442,2018-02-01,4.1875,111.8125,1020.91846,0.82070607,0.0,0.0,32.84358,0.8540641
6443,2018-02-01,4.1875,111.9375,1020.9027,0.82933867,0.0,0.0,32.842358,0.8612435
6444,2018-02-01,4.1875,112.0625,1020.8775,0.8427557,0.0,0.0,32.82093,0.87338805
6445,2018-02-01,4.1875,112.1875,1020.8616,0.85877174,0.0,0.0,32.798565,0.8882251
6446,2018-02-01,4.1875,112.3125,1020.8311,0.874695,0.0,0.0,32.7619,0.90295184
6447,2018-02-01,4.1875,112.4375,1020.80304,0.893991,0.0,0.0,32.73553,0.92111856
6448,2018-02-01,4.1875,112.5625,1020.7742,0.90691763,0.0,0.0,32.71587,0.9327759
6449,2018-02-01,4.1875,112.6875,1020.6965,0.91801393,0.0,0.0,32.653477,0.9425859
6450,2018-02-01,4.1875,112.8125,1020.6422,0.931965,0.0,0.0,32.625847,0.95531476
6451,2018-02-01,4.1875,112.9375,1020.6231,0.9473614,0.0,0.0,32.624035,0.9695156
6452,2018-02-01,4.1875,113.0625,1020.6258,0.964815,0.0,0.0,32.630684,0.98582095
6453,2018-02-01,4.1875,113.1875,1020.61,0.9788876,0.0,0.0,32.614674,0.9986987
6454,2018-02-01,4.1875,113.3125,1020.6074,0.993714,0.0,0.0,32.62243,1.0124568
